#center_z avg_z center_magnorm_agn avg_magnorm_agn number
5.35 5.357 27.5 27.495 20
5.35 5.349 28.5 28.500 31
5.35 5.347 29.5 29.472 55
5.35 5.349 30.5 30.560 92
5.35 5.349 31.5 31.581 145
5.35 5.348 32.5 32.562 295
5.35 5.355 33.5 33.056 46
5.45 5.422 21.5 21.435 1
5.45 5.494 22.5 22.320 1
5.45 5.458 23.5 23.416 2
5.45 5.439 24.5 24.680 5
5.45 5.450 25.5 25.382 8
5.45 5.456 26.5 26.515 14
5.45 5.448 27.5 27.541 21
5.45 5.444 28.5 28.648 27
5.45 5.448 29.5 29.516 59
5.45 5.451 30.5 30.571 75
5.45 5.451 31.5 31.568 131
5.45 5.447 32.5 32.556 263
5.45 5.452 33.5 33.082 57
5.55 5.509 21.5 21.396 1
5.55 5.504 22.5 22.109 1
5.55 5.559 23.5 23.637 2
5.55 5.507 24.5 24.209 1
5.55 5.547 25.5 25.327 4
5.55 5.541 26.5 26.569 15
5.55 5.547 27.5 27.512 16
5.55 5.543 28.5 28.536 37
5.55 5.548 29.5 29.534 53
5.55 5.552 30.5 30.536 71
5.55 5.549 31.5 31.529 122
5.55 5.549 32.5 32.521 234
5.55 5.555 33.5 33.110 66
5.65 5.633 22.5 22.578 2
5.65 5.666 23.5 23.700 4
5.65 5.665 24.5 24.618 4
5.65 5.660 25.5 25.469 11
5.65 5.652 26.5 26.536 11
5.65 5.664 27.5 27.430 19
5.65 5.636 28.5 28.535 28
5.65 5.649 29.5 29.577 33
5.65 5.650 30.5 30.526 57
5.65 5.652 31.5 31.518 128
5.65 5.649 32.5 32.567 220
5.65 5.645 33.5 33.118 80
5.75 5.751 21.5 21.657 1
5.75 5.751 24.5 24.500 6
5.75 5.763 25.5 25.588 6
5.75 5.761 26.5 26.588 11
5.75 5.744 27.5 27.608 17
5.75 5.755 28.5 28.551 26
5.75 5.749 29.5 29.620 35
5.75 5.746 30.5 30.572 63
5.75 5.750 31.5 31.506 87
5.75 5.752 32.5 32.512 206
5.75 5.754 33.5 33.153 78
5.85 5.843 22.5 22.275 2
5.85 5.859 23.5 23.623 2
5.85 5.840 24.5 24.637 9
5.85 5.867 25.5 25.467 6
5.85 5.851 26.5 26.414 17
5.85 5.857 27.5 27.639 23
5.85 5.859 28.5 28.538 16
5.85 5.847 29.5 29.548 28
5.85 5.850 30.5 30.569 53
5.85 5.851 31.5 31.516 97
5.85 5.847 32.5 32.556 186
5.85 5.857 33.5 33.176 89
5.95 5.933 22.5 22.574 1
5.95 5.961 23.5 23.633 5
5.95 5.936 24.5 24.785 7
5.95 5.947 25.5 25.405 7
5.95 5.953 26.5 26.678 9
5.95 5.957 27.5 27.559 6
5.95 5.944 28.5 28.379 18
5.95 5.953 29.5 29.501 28
5.95 5.946 30.5 30.572 52
5.95 5.950 31.5 31.575 87
5.95 5.952 32.5 32.552 159
5.95 5.952 33.5 33.193 115
6.05 6.084 23.5 23.418 2
6.05 6.072 24.5 24.406 5
6.05 6.029 25.5 25.394 4
6.05 6.038 26.5 26.416 5
6.05 6.036 27.5 27.466 14
6.05 6.036 28.5 28.466 11
6.05 6.047 29.5 29.569 32
6.05 6.053 30.5 30.462 53
6.05 6.046 31.5 31.596 84
6.05 6.047 32.5 32.531 168
6.05 6.047 33.5 33.229 107
6.15 6.149 23.5 23.659 3
6.15 6.119 24.5 24.703 1
6.15 6.149 25.5 25.571 9
6.15 6.128 26.5 26.242 9
6.15 6.145 27.5 27.492 11
6.15 6.144 28.5 28.511 14
6.15 6.149 29.5 29.652 21
6.15 6.149 30.5 30.458 42
6.15 6.150 31.5 31.505 78
6.15 6.146 32.5 32.574 125
6.15 6.151 33.5 33.249 111
6.25 6.248 21.5 21.675 1
6.25 6.260 22.5 22.815 2
6.25 6.244 23.5 23.257 4
6.25 6.232 24.5 24.632 2
6.25 6.232 25.5 25.230 2
6.25 6.259 26.5 26.550 7
6.25 6.256 27.5 27.516 9
6.25 6.244 28.5 28.523 20
